,Symbol
1971,PW
1972,PWP
1973,PWSC
1974,PX
1975,PXLW
1976,PYCR
1977,PYN
1978,PYXS
1979,PZC
1980,PZG
1981,PZZA
1982,QCOM
1983,QDRO
1984,QDROW
1985,QLGN
1986,QLYS
1987,QNCX
1988,QNST
1989,QS
1990,QSI
1991,QSIAW
1992,QTRX
1993,QTTB
1994,QTWO
1995,QUIK
1996,QVCC
1997,QVCD
1998,RA
1999,RAIL
2000,RAMP
2001,RANI
2002,RAPT
2003,RARE
2004,RBB
2005,RBCAA
2006,RBKB
2007,RBLX
2008,RC
2009,RCB
2010,RCC
2011,RCKT
2012,RCKY
2013,RCL
2014,RCS
2015,RCUS
2016,RDFN
2017,RDW
2018,REAL
2019,REFI
2020,REG
2021,REGN
2022,RELL
2023,RELY
2024,RENT
2025,REPL
2026,REPX
2027,REVB
2028,REVBW
2029,REVG
2030,REXR
2031,REYN
2032,REZI
2033,RFI
2034,RFL
2035,RGEN
2036,RGF
2037,RGLS
2038,RGNX
2039,RGS
2040,RH
2041,RICK
2042,RIGL
2043,RIVN
2044,RKDA
2045,RKLB
2046,RKT
2047,RL
2048,RLAY
2049,RLJ
2050,RLYB
2051,RM
2052,RMAX
2053,RMBI
2054,RMBS
2055,RMNI
2056,RMTI
2057,RNA
2058,RNAC
2059,RNAZ
2060,RNG
2061,RNGR
2062,RNP
2063,RNXT
2064,ROAD
2065,ROCK
2066,ROG
2067,ROKU
2068,ROOT
2069,ROP
2070,ROST
2071,RPAY
2072,RPD
2073,RPHM
2074,RPID
2075,RPRX
2076,RQI
2077,RRBI
2078,RRGB
2079,RRR
2080,RRX
2081,RS
2082,RSG
2083,RSI
2084,RSLS
2085,RSVR
2086,RUM
2087,RUMBW
2088,RUN
2089,RVLV
2090,RVMD
2091,RVNC
2092,RVP
2093,RVPH
2094,RVPHW
2095,RVT
2096,RWAY
2097,RWT
2098,RXRX
2099,RXST
2100,RXT
2101,RYAM
2102,RYAN
2103,RYI
2104,RYTM
2105,RZB
2106,S
2107,SABR
2108,SABS
2109,SABSW
2110,SACC
2111,SACH
2112,SAFT
2113,SAGE
2114,SAH
2115,SAMG
2116,SANA
2117,SANM
2118,SBAC
2119,SBGI
2120,SBI
2121,SBT
2122,SBUX
2123,SCCB
2124,SCCC
2125,SCD
2126,SCHL
2127,SCLX
2128,SCLXW
2129,SCM
2130,SCOR
2131,SCPH
2132,SCS
2133,SCVL
2134,SCWX
2135,SCYX
2136,SD
2137,SDGR
2138,SDIG
2139,SDOT
2140,SE
2141,SEB
2142,SEER
2143,SEIC
2144,SEM
2145,SEMR
2146,SEPA
2147,SEPAU
2148,SEPAW
2149,SERA
2150,SES
2151,SFB
2152,SFIX
2153,SFM
2154,SG
2155,SGBX
2156,SGH
2157,SGHT
2158,SGLY
2159,SGMA
2160,SGMO
2161,SGRY
2162,SHAK
2163,SHC
2164,SHCR
2165,SHCRW
2166,SHFS
2167,SHFSW
2168,SHLS
2169,SHO
2170,SHOO
2171,SHOT
2172,SHOTW
2173,SIBN
2174,SIDU
2175,SIF
2176,SILK
2177,SINT
2178,SITE
2179,SITM
2180,SJW
2181,SKIL
2182,SKIN
2183,SKLZ
2184,SKT
2185,SKX
2186,SKYT
2187,SKYW
2188,SLAB
2189,SLAM
2190,SLAMU
2191,SLAMW
2192,SLCA
2193,SLDB
2194,SLDP
2195,SLDPW
2196,SLE
2197,SLG
2198,SLNO
2199,SLQT
2200,SLRC
2201,SLRX
2202,SLVM
2203,SMAR
2204,SMCI
2205,SMG
2206,SMHI
2207,SMLP
2208,SMMT
2209,SMSI
2210,SNAP
2211,SNAX
2212,SNAXW
2213,SNCR
2214,SNCY
2215,SND
2216,SNDR
2217,SNDX
2218,SNES
2219,SNOA
2220,SNOW
2221,SNPO
2222,SNPS
2223,SNSE
2224,SNTI
2225,SNX
2226,SOI
2227,SOJC
2228,SOJD
2229,SOJE
2230,SOND
2231,SONDW
2232,SONM
2233,SONO
2234,SOPA
2235,SOUNW
2236,SP
2237,SPCE
2238,SPEC
2239,SPECW
2240,SPFI
2241,SPH
2242,SPHR
2243,SPIR
2244,SPR
2245,SPRB
2246,SPRO
2247,SPRU
2248,SPRY
2249,SPSC
2250,SPT
2251,SPWH
2252,SPWR
2253,SQ
2254,SQFT
2255,SQSP
2256,SRCL
2257,SRDX
2258,SREA
2259,SRG
2260,SRI
2261,SRRK
2262,SRTS
2263,SSBI
2264,SSBK
2265,SSKN
2266,SSNC
2267,SSSS
2268,SST
2269,SSTI
2270,SSTK
2271,SSY
2272,SSYS
2273,STAG
